index,Hours,Lat,Long,UserID
140,21:01:00,39.13002,117.2,27
141,21:01:00,41.80497,123.4499,19
142,21:01:00,43.865,125.3399,4
143,22:01:00,-8.83828,13.23442,16
144,22:01:00,-4.32972,15.31497,31
145,22:01:00,5.319996,-4.04004,36
146,22:01:00,9.03331,38.7,16
147,22:01:00,10.78002,106.695,41
148,22:01:00,11.99997,8.520037,81
149,22:01:00,13.08998,80.27999,58
150,22:01:00,15.58807,32.53417,129
151,22:01:00,16.78335,96.16667,90
152,22:01:00,17.39998,78.47995,21
153,22:01:00,21.19998,72.84003,116
154,22:01:00,22.32999,91.79996,32
155,22:01:00,22.49496,88.32467,1
156,22:01:00,22.58039,88.32994,7
157,22:01:00,23.03005,72.58,55
158,22:01:00,23.04888,113.7447,18
159,22:01:00,23.14498,113.325,31
160,22:01:00,23.72305,90.40857,13
161,22:01:00,26.45999,80.31999,21
162,22:01:00,26.92113,75.80998,50
163,22:01:00,29.56497,106.5949,114
164,22:01:00,30.58003,114.27,35
165,22:01:00,30.67,104.07,40
166,22:01:00,31.20001,29.94999,2
167,22:01:00,31.55997,74.35002,12
168,22:01:00,32.05001,118.7799,21
169,22:01:00,33.33864,44.39386,28
170,22:01:00,33.59997,-7.61636,9
171,22:01:00,34.27502,108.8949,32
172,22:01:00,34.51669,69.18326,17
173,22:01:00,35.09505,129.01,24
174,22:01:00,35.67194,51.42434,28
175,22:01:00,37.87501,112.545,25
176,22:01:00,39.01943,125.7546,5
177,22:01:00,39.13002,117.2,33
178,22:01:00,41.80497,123.4499,9
179,22:01:00,43.865,125.3399,9
180,00:01:00,-8.83828,13.23442,58
181,00:01:00,-4.32972,15.31497,31
182,00:01:00,5.319996,-4.04004,93
183,00:01:00,9.03331,38.7,27
184,00:01:00,10.78002,106.695,21
185,00:01:00,11.99997,8.520037,67
186,00:01:00,13.08998,80.27999,60
187,00:01:00,15.58807,32.53417,129
188,00:01:00,16.78335,96.16667,68
189,00:01:00,17.39998,78.47995,27
190,00:01:00,18.53001,73.85,13
191,00:01:00,21.19998,72.84003,45
192,00:01:00,22.32999,91.79996,37
193,00:01:00,22.49496,88.32467,7
194,00:01:00,22.58039,88.32994,17
195,00:01:00,23.03005,72.58,95
196,00:01:00,23.04888,113.7447,26
197,00:01:00,23.14498,113.325,32
198,00:01:00,23.72305,90.40857,13
199,00:01:00,24.86999,66.99,3
200,00:01:00,26.45999,80.31999,31
201,00:01:00,26.92113,75.80998,75
202,00:01:00,29.56497,106.5949,44
203,00:01:00,30.58003,114.27,44
204,00:01:00,30.67,104.07,61
205,00:01:00,31.20001,29.94999,11
206,00:01:00,31.55997,74.35002,42
207,00:01:00,32.05001,118.7799,29
208,00:01:00,33.33864,44.39386,48
209,00:01:00,33.59997,-7.61636,36
210,00:01:00,34.27502,108.8949,20
211,00:01:00,34.51669,69.18326,67
212,00:01:00,35.09505,129.01,35
213,00:01:00,35.67194,51.42434,57
214,00:01:00,37.87501,112.545,32
215,00:01:00,39.01943,125.7546,6
216,00:01:00,39.13002,117.2,29
217,00:01:00,41.80497,123.4499,22
218,00:01:00,43.865,125.3399,3
