UserID,Lat,Long,Frequency
841955376,59.93901,30.31602,1
173809447,59.93901,30.31602,2
1050397718.0,59.93901,30.31602,1
257873300.0,59.93901,30.31602,1
946235546.0,59.93901,30.31602,2
1961188129.0,59.93901,30.31602,1
4366084275.0,59.93901,30.31602,2
140012420.0,59.93901,30.31602,2
294742138.0,59.93901,30.31602,6
746883968.0,59.93901,30.31602,2
182997803.0,59.93901,30.31602,1
298732905.0,59.93901,30.31602,2
1209788623.0,59.93901,30.31602,5
190616681,59.93901,30.31602,1
501878572.0,59.93901,30.31602,1
178656004,59.93901,30.31602,1
242834856.0,59.93901,30.31602,1
4842918076.0,59.93901,30.31602,2
524264994.0,59.93901,30.31602,5
134713423.0,59.93901,30.31602,1
541012876.0,59.93901,30.31602,4
320757186.0,59.93901,30.31602,1
1445799794.0,59.93901,30.31602,1
2306027284,59.93901,30.31602,1
166590223.0,59.93901,30.31602,1
7.300832780368609e+17,59.93901,30.31602,1
183985851.0,59.93901,30.31602,1
1277661967,59.93901,30.31602,6
1710490484,59.93901,30.31602,2
2340298333.0,59.93901,30.31602,13
65337443.0,59.93901,30.31602,9
135952813.0,59.93901,30.31602,3
410321317.0,59.93901,30.31602,1
2218457996,59.93901,30.31602,14
2658388962,59.93901,30.31602,3
299584739.0,59.93901,30.31602,1
102722494,59.93901,30.31602,2
461258876,59.93901,30.31602,1
712497446.0,59.93901,30.31602,2
175293057,59.93901,30.31602,1
1607986423.0,59.93901,30.31602,1
895776878.0,59.93901,30.31602,1
2325380280.0,59.93901,30.31602,3
386112993.0,59.93901,30.31602,3
2984005233,59.93901,30.31602,2
2494605749.0,59.93901,30.31602,1
240862151,59.93901,30.31602,3
362381512,59.93901,30.31602,4
277007786.0,59.93901,30.31602,1
3339062981.0,59.93901,30.31602,3
192511217,59.93901,30.31602,2
359733390,59.93901,30.31602,1
518070026.0,59.93901,30.31602,1
196999136.0,59.93901,30.31602,3
2728430074.0,59.93901,30.31602,1
365100973.0,59.93901,30.31602,1
325743266.0,59.93901,30.31602,1
1887214597.0,59.93901,30.31602,2
33665070.0,59.93901,30.31602,4
59840368.0,59.93901,30.31602,1
2184954386,59.93901,30.31602,2
258874219.0,59.93901,30.31602,1
127051142.0,59.93901,30.31602,1
2511363925,59.93901,30.31602,2
328567103.0,59.93901,30.31602,1
2461821510,59.93901,30.31602,3
1699794000.0,59.93901,30.31602,2
556830308.0,59.93901,30.31602,1
72008545,59.93901,30.31602,6
1852083373.0,59.93901,30.31602,1
47617025.0,59.93901,30.31602,1
2201256330.0,59.93901,30.31602,1
4575596598.0,59.93901,30.31602,1
1417386727.0,59.93901,30.31602,1
164193933,59.93901,30.31602,1
63041730.0,59.93901,30.31602,3
433223168.0,59.93901,30.31602,2
7.315519900571771e+17,59.93901,30.31602,1
245593027.0,59.93901,30.31602,2
7.333315433604301e+17,59.93901,30.31602,1
209563193.0,59.93901,30.31602,1
3489490233.0,59.93901,30.31602,4
154642012,59.93901,30.31602,8
1091014896,59.93901,30.31602,1
3233230444.0,59.93901,30.31602,13
126968630,59.93901,30.31602,1
2267911585.0,59.93901,30.31602,1
601660214.0,59.93901,30.31602,1
765301495415840768,59.93901,30.31602,1
205443439.0,59.93901,30.31602,1
3107269732.0,59.93901,30.31602,1
47375229,59.93901,30.31602,1
114709168.0,59.93901,30.31602,1
145789873.0,59.93901,30.31602,1
447954429,59.93901,30.31602,2
7.144824712036925e+17,59.93901,30.31602,1
1076780574.0,59.93901,30.31602,4
364826297,59.93901,30.31602,1
3146790737.0,59.93901,30.31602,2
172403017,59.93901,30.31602,2
574204597,59.93901,30.31602,1
1299963865.0,59.93901,30.31602,2
145789873,59.93901,30.31602,1
77243576,59.93901,30.31602,2
299237875,59.93901,30.31602,2
591080703,59.93901,30.31602,2
4582821514,59.93901,30.31602,12
1737363438.0,59.93901,30.31602,1
4872025697.0,59.93901,30.31602,2
268420591,59.93901,30.31602,6
1548429174.0,59.93901,30.31602,1
540752748.0,59.93901,30.31602,1
313571624.0,59.93901,30.31602,1
223295196.0,59.93901,30.31602,1
483342091.0,59.93901,30.31602,3
274618601,59.93901,30.31602,5
22268768.0,59.93901,30.31602,1
303564266.0,59.93901,30.31602,1
463259155.0,59.93901,30.31602,3
745248289944178688,59.93901,30.31602,9
3091651301,59.93901,30.31602,1
193846096,59.93901,30.31602,1
142280343.0,59.93901,30.31602,1
2436267611.0,59.93901,30.31602,2
344435545.0,59.93901,30.31602,1
393516267,59.93901,30.31602,1
192914427.0,59.93901,30.31602,6
370284440.0,59.93901,30.31602,2
526893423,59.93901,30.31602,2
1671452916,59.93901,30.31602,1
363723851.0,59.93901,30.31602,2
1431474511.0,59.93901,30.31602,1
1192807381,59.93901,30.31602,2
2932837319.0,59.93901,30.31602,3
88169538,59.93901,30.31602,3
107227643,59.93901,30.31602,1
204198693.0,59.93901,30.31602,10
490310164.0,59.93901,30.31602,10
1549458000.0,59.93901,30.31602,1
2505574922,59.93901,30.31602,9
335834956,59.93901,30.31602,1
80772701.0,59.93901,30.31602,2
186152405,59.93901,30.31602,5
477618763.0,59.93901,30.31602,2
556079369.0,59.93901,30.31602,2
286592205,59.93901,30.31602,2
1272453578,59.93901,30.31602,1
84573182,59.93901,30.31602,2
215001846,59.93901,30.31602,1
230422859,59.93901,30.31602,1
372213159.0,59.93901,30.31602,1
552128574.0,59.93901,30.31602,1
4842918076,59.93901,30.31602,2
2353099433.0,59.93901,30.31602,1
1053162817,59.93901,30.31602,2
244979599.0,59.93901,30.31602,3
127051142,59.93901,30.31602,1
2865534023.0,59.93901,30.31602,1
980861118,59.93901,30.31602,1
742917854.0,59.93901,30.31602,4
174588547.0,59.93901,30.31602,3
1012859173.0,59.93901,30.31602,1
2349725446.0,59.93901,30.31602,2
179544017.0,59.93901,30.31602,1
297664491,59.93901,30.31602,8
43877175,59.93901,30.31602,1
130788296,59.93901,30.31602,1
495253104.0,59.93901,30.31602,2
1286743916,59.93901,30.31602,1
861745058.0,59.93901,30.31602,1
1090427413.0,59.93901,30.31602,1
504310383.0,59.93901,30.31602,1
2898397546.0,59.93901,30.31602,1
197151703,59.93901,30.31602,1
214011278,59.93901,30.31602,3
329818997,59.93901,30.31602,1
4656120143.0,59.93901,30.31602,1
2347058488,59.93901,30.31602,3
1607986423,59.93901,30.31602,1
2950214343.0,59.93901,30.31602,2
7.875710122295337e+17,59.93901,30.31602,1
1716714696,59.93901,30.31602,1
19073279,59.93901,30.31602,2
493004907.0,59.93901,30.31602,1
1352012826,59.93901,30.31602,1
177111588,59.93901,30.31602,1
148855996,59.93901,30.31602,2
499905923.0,59.93901,30.31602,1
187995287.0,59.93901,30.31602,1
276034300,59.93901,30.31602,1
184423974.0,59.93901,30.31602,1
4575596598,59.93901,30.31602,1
327507159,59.93901,30.31602,1
572723698.0,59.93901,30.31602,2
146799987.0,59.93901,30.31602,2
290986886,59.93901,30.31602,2
309775693,59.93901,30.31602,1
471210051.0,59.93901,30.31602,1
347061835.0,59.93901,30.31602,2
2299111643.0,59.93901,30.31602,2
168967313.0,59.93901,30.31602,1
248574925.0,59.93901,30.31602,18
3233230444,59.93901,30.31602,8
397119125,59.93901,30.31602,1
1077175820.0,59.93901,30.31602,1
304865628.0,59.93901,30.31602,1
925552717,59.93901,30.31602,2
186038651.0,59.93901,30.31602,1
2826068433.0,59.93901,30.31602,7
297943613,59.93901,30.31602,5
358614788.0,59.93901,30.31602,5
94127775,59.93901,30.31602,2
192166095,59.93901,30.31602,1
62860264.0,59.93901,30.31602,1
623102381,59.93901,30.31602,1
390016045.0,59.93901,30.31602,3
632624096,59.93901,30.31602,1
54554910.0,59.93901,30.31602,9
371266340,59.93901,30.31602,1
615236503,59.93901,30.31602,1
1032593066.0,59.93901,30.31602,6
83797869.0,59.93901,30.31602,1
107396120.0,59.93901,30.31602,1
7.427951757900186e+17,59.93901,30.31602,1
368541151.0,59.93901,30.31602,2
632327014.0,59.93901,30.31602,2
512481095.0,59.93901,30.31602,1
148274548.0,59.93901,30.31602,3
2207443207.0,59.93901,30.31602,2
435594399.0,59.93901,30.31602,2
469393813,59.93901,30.31602,1
3339692519,59.93901,30.31602,1
2147694889,59.93901,30.31602,2
376338782,59.93901,30.31602,2
449668180,59.93901,30.31602,1
128325869.0,59.93901,30.31602,2
304756392.0,59.93901,30.31602,5
234800583,59.93901,30.31602,1
