UserID,@mention,Frequency
48086249.0,['@auh'],1
51321454.0,['@jazzaberry'],1
1267822722.0,"['@mbznews', '@DXBMediaOffice', '@simplyabudhabi']",1
597363395.0,['@tsogosun'],1
391557895.0,['@mubarakalkatbi'],1
2870687215.0,['@solacash'],1
220075111.0,['@etihadairways'],1
174387985.0,['@MaNarMohDarwiSH'],1
347889518.0,"['@YesIDoBridal', '@klalaphotograph', '@uniqueberryart', '@TopalTouch']",1
1267822722.0,['@emiratespalace'],1
77441114.0,['@polwinkle'],1
129628680.0,"['@angelasimmons', '@oycmiami']",1
193033489.0,['@vickyzilla'],2
62131700.0,['@WoodTavern'],1
28578076.0,['@Youfit'],1
1449552085.0,"['@shaun_frank', '@LIVmiami']",1
2380974648.0,"['@etniesbmx', '@cultcrew', '@foxbmx']",1
333978731.0,['@jreast_official'],1
269473881.0,['@jreast_official'],1
99653640.0,['@jreast_official'],1
480214676.0,['@jreast_official'],3
189583155.0,['@jreast_official'],3
46787051.0,['@jreast_official'],1
2361073248.0,['@jreast_official'],1
126251210.0,['@jreast_official'],1
1516188721.0,['@jreast_official'],1
227597810.0,['@starbucks_j'],1
3967047372.0,['@keikyu_official'],2
124787944.0,['@tokyu_official'],1
228662131.0,['@tokyu_official'],1
791643146.0,['@tokyu_official'],1
1035918655.0,['@t_bigsight'],1
113282137.0,['@curry_shop_cc'],1
1945759753.0,['@yanzaki1'],1
73315103.0,['@sotetsu_pr'],1
200438486.0,['@odakyuline_info'],1
1798912051.0,['@odakyuline_info'],1
3105147968.0,['@h_line_info'],1
46787051.0,['@akiko_lawson'],1
587552613.0,['@uectokyo'],1
633043456.0,['@risel_asano'],1
41596109.0,['@m_line_info'],1
105546083.0,['@yurikamome_info'],1
163862538.0,['@y_line_info'],1
78601488.0,['@y_line_info'],1
609098157.0,['@tokyometro_info'],1
41519781.0,['@keiodentetsu'],1
193213839.0,['@keiodentetsu'],1
2847518844.0,['@chiba_univ_pr'],1
1876479247.0,['@JaimeBlenDormir'],1
149946725.0,['@asahipress_com'],1
128930864.0,['@deananddelucajp'],1
