index,Hours,Count
0,18:01:00,771
1,19:01:00,1031
2,20:01:00,1066
3,21:01:00,1103
4,22:01:00,1306
5,23:01:00,0
6,00:01:00,1561
7,01:01:00,1736
8,02:01:00,1980
9,03:01:00,2217
10,04:01:00,2637
11,05:01:00,3159
12,06:01:00,3543
13,07:01:00,4473
14,08:01:00,5744
15,09:01:00,6833
16,10:01:00,7495
17,11:01:00,8407
18,12:01:00,9752
19,13:01:00,12132
20,14:01:00,16006
21,15:01:00,30721
22,16:01:00,119914
23,17:01:00,7371
