StartTime,EndTIme,Count
09:01 AM - 04 Oct 2016,10:01 AM - 04 Oct 2016,275
10:01 AM - 04 Oct 2016,11:01 AM - 04 Oct 2016,298
11:01 AM - 04 Oct 2016,12:01 PM - 04 Oct 2016,291
12:01 PM - 04 Oct 2016,01:01 PM - 04 Oct 2016,317
01:01 PM - 04 Oct 2016,02:01 PM - 04 Oct 2016,457
02:01 PM - 04 Oct 2016,03:01 PM - 04 Oct 2016,657
03:01 PM - 04 Oct 2016,04:01 PM - 04 Oct 2016,1091
04:01 PM - 04 Oct 2016,05:01 PM - 04 Oct 2016,4078
05:01 PM - 04 Oct 2016,06:01 PM - 04 Oct 2016,24
06:01 PM - 04 Oct 2016,07:01 PM - 04 Oct 2016,30
07:01 PM - 04 Oct 2016,08:01 PM - 04 Oct 2016,24
08:01 PM - 04 Oct 2016,09:01 PM - 04 Oct 2016,37
09:01 PM - 04 Oct 2016,10:01 PM - 04 Oct 2016,32
10:01 PM - 04 Oct 2016,11:01 PM - 04 Oct 2016,48
11:01 PM - 04 Oct 2016,12:01 AM - 05 Oct 2016,68
12:01 AM - 05 Oct 2016,01:01 AM - 05 Oct 2016,43
01:01 AM - 05 Oct 2016,02:01 AM - 05 Oct 2016,71
02:01 AM - 05 Oct 2016,03:01 AM - 05 Oct 2016,80
03:01 AM - 05 Oct 2016,04:01 AM - 05 Oct 2016,65
04:01 AM - 05 Oct 2016,05:01 AM - 05 Oct 2016,83
05:01 AM - 05 Oct 2016,06:01 AM - 05 Oct 2016,126
06:01 AM - 05 Oct 2016,07:01 AM - 05 Oct 2016,97
07:01 AM - 05 Oct 2016,08:01 AM - 05 Oct 2016,188
08:01 AM - 05 Oct 2016,09:01 AM - 05 Oct 2016,184
09:01 AM - 05 Oct 2016,10:01 AM - 05 Oct 2016,256
10:01 AM - 05 Oct 2016,11:01 AM - 05 Oct 2016,281
11:01 AM - 05 Oct 2016,12:01 PM - 05 Oct 2016,328
12:01 PM - 05 Oct 2016,01:01 PM - 05 Oct 2016,483
01:01 PM - 05 Oct 2016,02:01 PM - 05 Oct 2016,504
02:01 PM - 05 Oct 2016,03:01 PM - 05 Oct 2016,528
03:01 PM - 05 Oct 2016,04:01 PM - 05 Oct 2016,1019
04:01 PM - 05 Oct 2016,05:01 PM - 05 Oct 2016,3722
05:01 PM - 05 Oct 2016,06:01 PM - 05 Oct 2016,11
06:01 PM - 05 Oct 2016,07:01 PM - 05 Oct 2016,25
07:01 PM - 05 Oct 2016,08:01 PM - 05 Oct 2016,22
08:01 PM - 05 Oct 2016,09:01 PM - 05 Oct 2016,43
09:01 PM - 05 Oct 2016,10:01 PM - 05 Oct 2016,24
10:01 PM - 05 Oct 2016,11:01 PM - 05 Oct 2016,25
11:01 PM - 05 Oct 2016,12:01 AM - 06 Oct 2016,24
12:01 AM - 06 Oct 2016,01:01 AM - 06 Oct 2016,48
01:01 AM - 06 Oct 2016,02:01 AM - 06 Oct 2016,62
02:01 AM - 06 Oct 2016,03:01 AM - 06 Oct 2016,74
03:01 AM - 06 Oct 2016,04:01 AM - 06 Oct 2016,72
04:01 AM - 06 Oct 2016,05:01 AM - 06 Oct 2016,70
05:01 AM - 06 Oct 2016,06:01 AM - 06 Oct 2016,83
06:01 AM - 06 Oct 2016,07:01 AM - 06 Oct 2016,121
07:01 AM - 06 Oct 2016,08:01 AM - 06 Oct 2016,126
08:01 AM - 06 Oct 2016,09:01 AM - 06 Oct 2016,190
09:01 AM - 06 Oct 2016,10:01 AM - 06 Oct 2016,242
10:01 AM - 06 Oct 2016,11:01 AM - 06 Oct 2016,225
11:01 AM - 06 Oct 2016,12:01 PM - 06 Oct 2016,239
12:01 PM - 06 Oct 2016,01:01 PM - 06 Oct 2016,270
01:01 PM - 06 Oct 2016,02:01 PM - 06 Oct 2016,350
02:01 PM - 06 Oct 2016,03:01 PM - 06 Oct 2016,392
03:01 PM - 06 Oct 2016,04:01 PM - 06 Oct 2016,883
04:01 PM - 06 Oct 2016,05:01 PM - 06 Oct 2016,4064
05:01 PM - 06 Oct 2016,06:01 PM - 06 Oct 2016,14
06:01 PM - 06 Oct 2016,07:01 PM - 06 Oct 2016,21
07:01 PM - 06 Oct 2016,08:01 PM - 06 Oct 2016,17
08:01 PM - 06 Oct 2016,09:01 PM - 06 Oct 2016,45
09:01 PM - 06 Oct 2016,10:01 PM - 06 Oct 2016,36
10:01 PM - 06 Oct 2016,11:01 PM - 06 Oct 2016,39
11:01 PM - 06 Oct 2016,12:01 AM - 07 Oct 2016,43
12:01 AM - 07 Oct 2016,01:01 AM - 07 Oct 2016,49
01:01 AM - 07 Oct 2016,02:01 AM - 07 Oct 2016,47
02:01 AM - 07 Oct 2016,03:01 AM - 07 Oct 2016,66
03:01 AM - 07 Oct 2016,04:01 AM - 07 Oct 2016,76
04:01 AM - 07 Oct 2016,05:01 AM - 07 Oct 2016,120
05:01 AM - 07 Oct 2016,06:01 AM - 07 Oct 2016,112
06:01 AM - 07 Oct 2016,07:01 AM - 07 Oct 2016,151
07:01 AM - 07 Oct 2016,08:01 AM - 07 Oct 2016,186
08:01 AM - 07 Oct 2016,09:01 AM - 07 Oct 2016,221
09:01 AM - 07 Oct 2016,10:01 AM - 07 Oct 2016,198
10:01 AM - 07 Oct 2016,11:01 AM - 07 Oct 2016,254
11:01 AM - 07 Oct 2016,12:01 PM - 07 Oct 2016,318
12:01 PM - 07 Oct 2016,01:01 PM - 07 Oct 2016,340
01:01 PM - 07 Oct 2016,02:01 PM - 07 Oct 2016,453
02:01 PM - 07 Oct 2016,03:01 PM - 07 Oct 2016,548
03:01 PM - 07 Oct 2016,04:01 PM - 07 Oct 2016,1074
04:01 PM - 07 Oct 2016,05:01 PM - 07 Oct 2016,4223
05:01 PM - 07 Oct 2016,06:01 PM - 07 Oct 2016,13
06:01 PM - 07 Oct 2016,07:01 PM - 07 Oct 2016,31
07:01 PM - 07 Oct 2016,08:01 PM - 07 Oct 2016,54
08:01 PM - 07 Oct 2016,09:01 PM - 07 Oct 2016,28
09:01 PM - 07 Oct 2016,10:01 PM - 07 Oct 2016,18
