StartTime,EndTIme,Count
05:01 PM - 30 Sep 2016,05:01 PM - 07 Oct 2016,57742
05:01 PM - 07 Oct 2016,05:01 PM - 14 Oct 2016,58239
05:01 PM - 14 Oct 2016,05:01 PM - 21 Oct 2016,56998
05:01 PM - 21 Oct 2016,05:01 PM - 28 Oct 2016,63761
05:01 PM - 28 Oct 2016,05:01 PM - 04 Nov 2016,8973
