UserID,Source,Freq
152186327.0,instagram,1
3924741861.0,instagram,2
380885546.0,instagram,1
202150622.0,instagram,1
738801134.0,instagram,1
4809045142.0,instagram,1
971376415.0,instagram,1
233047263.0,instagram,1
1572894900.0,instagram,1
600408792.0,instagram,1
220075111.0,instagram,2
51321454.0,instagram,1
42858263.0,instagram,1
15438696.0,swarmapp,1
590322512.0,instagram,1
84635316.0,instagram,1
523020082.0,instagram,1
454829072.0,instagram,3
1267822722.0,instagram,2
18880159.0,instagram,1
3336921679.0,instagram,1
312398924.0,instagram,2
391557895.0,instagram,1
21078125.0,instagram,1
488978008.0,instagram,1
150618111.0,instagram,1
286892710.0,instagram,2
118763512.0,instagram,1
101428813.0,instagram,1
629965451.0,instagram,1
50652724.0,instagram,1
2870687215.0,instagram,2
468828312.0,instagram,1
249777926.0,instagram,2
248326024.0,instagram,1
717475172.0,monasabat,1
21033096.0,kartenquiz,1
54348099.0,instagram,1
300429074.0,instagram,1
391282188.0,swarmapp,1
4044833592.0,instagram,2
1565933497.0,instagram,1
81861754.0,instagram,1
2975511295.0,twitter,1
431718684.0,instagram,2
2856517828.0,instagram,2
285952883.0,instagram,1
248626141.0,instagram,1
2684296932.0,instagram,1
2153020994.0,instagram,1
2897847673.0,instagram,1
277115591.0,instagram,1
1867738674.0,instagram,1
190906174.0,path,1
1531774699.0,swarmapp,1
1358889410.0,instagram,1
233603393.0,instagram,1
1338389648.0,instagram,1
1127752910.0,instagram,1
556895929.0,instagram,1
77441114.0,instagram,1
293670056.0,instagram,1
19019803.0,instagram,1
765079081.0,instagram,1
129628680.0,instagram,1
17551341.0,instagram,1
229883964.0,instagram,1
48045893.0,instagram,1
3331896981.0,swarmapp,1
77303429.0,instagram,1
564758271.0,instagram,1
185789961.0,dlvr,1
138418838.0,dlvr,1
186478529.0,dlvr,1
40561514.0,instagram,1
188902985.0,instagram,1
249831776.0,bit,1
38951171.0,instagram,1
148430772.0,tlclatino,1
413725603.0,instagram,1
452615539.0,instagram,2
62131700.0,swarmapp,1
144595380.0,instagram,1
42911831.0,ow,1
42485388.0,instagram,1
20874461.0,swarmapp,1
385481756.0,instagram,1
3308190923.0,instagram,1
1449552085.0,instagram,1
24691627.0,instagram,1
2380974648.0,instagram,1
228662131.0,swarmapp,1
227597810.0,swarmapp,1
3967047372.0,swarmapp,1
200438486.0,swarmapp,1
1701041005.0,swarmapp,1
2897111353.0,instagram,1
124787944.0,swarmapp,1
168467963.0,swarmapp,1
95909359.0,swarmapp,1
1335613789.0,swarmapp,1
108328072.0,swarmapp,2
176081290.0,swarmapp,1
133139771.0,instagram,1
505416380.0,instagram,1
99653640.0,swarmapp,1
113282137.0,swarmapp,1
480214676.0,swarmapp,2
19515882.0,swarmapp,1
178672671.0,swarmapp,1
189583155.0,swarmapp,1
1885869060.0,swarmapp,1
98049819.0,instagram,1
181423154.0,swarmapp,1
485007946.0,instagram,1
62775472.0,swarmapp,1
123545568.0,instagram,1
46787051.0,swarmapp,2
587552613.0,swarmapp,1
1798912051.0,swarmapp,1
60498895.0,instagram,1
1169788446.0,instagram,1
486672623.0,instagram,1
633043456.0,instagram,1
41596109.0,swarmapp,1
96042246.0,swarmapp,1
2361073248.0,swarmapp,2
2196538817.0,instagram,1
163862538.0,swarmapp,1
54104257.0,swarmapp,1
2361093066.0,instagram,1
609098157.0,swarmapp,1
41519781.0,4sq,1
82885382.0,instagram,1
1881584940.0,ameblo,1
2847518844.0,swarmapp,1
3033774385.0,swarmapp,1
331688309.0,instagram,1
149946725.0,swarmapp,1
1516188721.0,swarmapp,1
128930864.0,swarmapp,1
2403023857.0,swarmapp,1
30787429.0,instagram,1
193213839.0,swarmapp,1
