index,UserID,DateTime,Count
102,2684296932.0,12:00 AM - 23 Feb 2016,1
103,2834148008.0,12:00 AM - 23 Feb 2016,1
104,2856517828.0,12:00 AM - 23 Feb 2016,2
105,2870687215.0,12:00 AM - 23 Feb 2016,2
106,2897847673.0,12:00 AM - 23 Feb 2016,1
107,2943432330.0,12:00 AM - 23 Feb 2016,1
108,2975511295.0,12:00 AM - 23 Feb 2016,2
109,3197562830.0,12:00 AM - 23 Feb 2016,1
110,3308190923.0,12:00 AM - 23 Feb 2016,1
111,3331896981.0,12:00 AM - 23 Feb 2016,1
112,3336921679.0,12:00 AM - 23 Feb 2016,1
113,3705927252.0,12:00 AM - 23 Feb 2016,1
114,3924741861.0,12:00 AM - 23 Feb 2016,2
115,4044833592.0,12:00 AM - 23 Feb 2016,2
116,4809045142.0,12:00 AM - 23 Feb 2016,1
117,5487372.0,12:00 AM - 24 Feb 2016,1
118,6386322.0,12:00 AM - 24 Feb 2016,1
119,19515882.0,12:00 AM - 24 Feb 2016,1
120,30787429.0,12:00 AM - 24 Feb 2016,1
121,41519781.0,12:00 AM - 24 Feb 2016,1
122,41596109.0,12:00 AM - 24 Feb 2016,1
123,44629928.0,12:00 AM - 24 Feb 2016,1
124,46787051.0,12:00 AM - 24 Feb 2016,3
125,54104257.0,12:00 AM - 24 Feb 2016,1
126,60498895.0,12:00 AM - 24 Feb 2016,1
127,62218986.0,12:00 AM - 24 Feb 2016,1
128,62775472.0,12:00 AM - 24 Feb 2016,1
129,73315103.0,12:00 AM - 24 Feb 2016,1
130,78601488.0,12:00 AM - 24 Feb 2016,1
131,82885382.0,12:00 AM - 24 Feb 2016,1
132,94115087.0,12:00 AM - 24 Feb 2016,1
133,95909359.0,12:00 AM - 24 Feb 2016,1
134,96042246.0,12:00 AM - 24 Feb 2016,1
135,98049819.0,12:00 AM - 24 Feb 2016,1
136,99653640.0,12:00 AM - 24 Feb 2016,1
137,103407579.0,12:00 AM - 24 Feb 2016,1
138,105546083.0,12:00 AM - 24 Feb 2016,1
139,108328072.0,12:00 AM - 24 Feb 2016,2
140,113282137.0,12:00 AM - 24 Feb 2016,1
141,123545568.0,12:00 AM - 24 Feb 2016,1
142,124787944.0,12:00 AM - 24 Feb 2016,1
143,126251210.0,12:00 AM - 24 Feb 2016,1
144,128930864.0,12:00 AM - 24 Feb 2016,1
145,133139771.0,12:00 AM - 24 Feb 2016,1
146,138303191.0,12:00 AM - 24 Feb 2016,1
147,149946725.0,12:00 AM - 24 Feb 2016,1
148,158805096.0,12:00 AM - 24 Feb 2016,1
149,163862538.0,12:00 AM - 24 Feb 2016,2
150,168467963.0,12:00 AM - 24 Feb 2016,1
151,176081290.0,12:00 AM - 24 Feb 2016,1
152,178672671.0,12:00 AM - 24 Feb 2016,2
153,181423154.0,12:00 AM - 24 Feb 2016,1
154,189583155.0,12:00 AM - 24 Feb 2016,3
155,193213839.0,12:00 AM - 24 Feb 2016,1
156,200438486.0,12:00 AM - 24 Feb 2016,2
157,218048781.0,12:00 AM - 24 Feb 2016,2
158,227597810.0,12:00 AM - 24 Feb 2016,1
159,228662131.0,12:00 AM - 24 Feb 2016,2
160,231585555.0,12:00 AM - 24 Feb 2016,1
161,265682901.0,12:00 AM - 24 Feb 2016,1
162,269473881.0,12:00 AM - 24 Feb 2016,2
163,300281420.0,12:00 AM - 24 Feb 2016,1
164,331688309.0,12:00 AM - 24 Feb 2016,1
165,333978731.0,12:00 AM - 24 Feb 2016,1
166,354263529.0,12:00 AM - 24 Feb 2016,1
167,480214676.0,12:00 AM - 24 Feb 2016,4
168,485007946.0,12:00 AM - 24 Feb 2016,1
169,486672623.0,12:00 AM - 24 Feb 2016,1
170,498674302.0,12:00 AM - 24 Feb 2016,1
171,505416380.0,12:00 AM - 24 Feb 2016,1
172,587552613.0,12:00 AM - 24 Feb 2016,1
173,609098157.0,12:00 AM - 24 Feb 2016,1
174,633043456.0,12:00 AM - 24 Feb 2016,1
175,712289478.0,12:00 AM - 24 Feb 2016,1
176,756797485.0,12:00 AM - 24 Feb 2016,1
177,791643146.0,12:00 AM - 24 Feb 2016,1
178,1035918655.0,12:00 AM - 24 Feb 2016,1
179,1169788446.0,12:00 AM - 24 Feb 2016,1
180,1335613789.0,12:00 AM - 24 Feb 2016,1
181,1458967008.0,12:00 AM - 24 Feb 2016,1
182,1516188721.0,12:00 AM - 24 Feb 2016,1
183,1701041005.0,12:00 AM - 24 Feb 2016,1
184,1798912051.0,12:00 AM - 24 Feb 2016,1
185,1876479247.0,12:00 AM - 24 Feb 2016,1
186,1881584940.0,12:00 AM - 24 Feb 2016,1
187,1885869060.0,12:00 AM - 24 Feb 2016,2
188,1945759753.0,12:00 AM - 24 Feb 2016,1
189,2196538817.0,12:00 AM - 24 Feb 2016,1
190,2255293753.0,12:00 AM - 24 Feb 2016,2
191,2361073248.0,12:00 AM - 24 Feb 2016,2
192,2361093066.0,12:00 AM - 24 Feb 2016,1
193,2403023857.0,12:00 AM - 24 Feb 2016,1
194,2847518844.0,12:00 AM - 24 Feb 2016,1
195,2897111353.0,12:00 AM - 24 Feb 2016,1
196,3033774385.0,12:00 AM - 24 Feb 2016,1
197,3105147968.0,12:00 AM - 24 Feb 2016,1
198,3967047372.0,12:00 AM - 24 Feb 2016,2
